@@,itemlabel,item,startdate,enddate
+++,],,2007-11-23,2012-12-12
---,Азаров Микола Янович,Q57590,2007-11-23,2010-03-11
+++,Азіров Микола Янович,,2007-11-23,2012-12-12
->,Андрій Шкіль->Шкіль Андрій Васильович,Q2067495,2007-11-23,2012-12-12
---,Ахметов Рінат Леонідович,Q60805,2007-11-23,2012-12-12
->,Богуслаєв В'ячеслав Олександрович->Богуслаєв Вячеслав Олександрович,Q4089899,2007-11-23,2012-12-12
->,Бондаренко Віктор Вікторович (політик)->Бондаренко Віктор Вікторович,Q7929651,2007-11-23,2012-12-12
->,Жванія Давид Важайович->Жванія Давид Важаєвич,Q4178408,2007-11-23,2012-12-12
->,Звенигородський Олег Вікторович->Поліщук Олег Вікторович,Q12142192,2008-06-03,2011-10-21
+++,Киричок Олександр Едуардович,Q56026779,2010-05-31,2012-12-12
->,Клименко Олександр Іванович (політик)->Клименко Олександр Іванович,Q12110468,2007-11-23,2012-12-12
->,Клюєв Андрій Петрович,Q510926,2007-11-23,2010-03-11->2012-12-12
->,Коваль В'ячеслав Станіславович->Коваль Вячеслав Станіславович,Q12110961,2007-11-23,2012-12-12
->,Козак Володимир Васильович,Q1525225->Q109446261,2007-11-23,2011-05-19
->,Колесніков Борис Вікторович,Q704326,2007-11-23,2010-03-11->2012-12-12
->,Коротюк Вадим Іванович,Q12113243,2007-11-23,2012-07-30->2012-12-12
---,Луценко Сергій Віталійович,Q20068212,2012-07-12,2012-12-12
---,Ляшко Олег Валерійович,Q12119499,2007-11-23,2012-12-12
->,Михайло Якович Волинець->Волинець Михайло Якович,Q4124410,2007-11-23,2012-12-12
->,Наконечний Володимир Леонтієвич->Наконечний Володимир Леонтійович,Q12132274,2007-11-23,2012-12-12
->,Олександр Володимирович Савчук->Савчук Олександр Володимирович,Q4404328,2007-11-23,2012-12-06
---,Омельченко Олександр Олександрович,Q2376704,2007-11-23,2012-12-12
---,Палиця Ігор Петрович,Q11711558,2007-11-23,2012-12-12
->,Петров Борис Федорович (політик)->Петров Борис Федорович,Q4360704,2007-11-23,2010-04-16
---,Плющ Іван Степанович,Q742735,2007-11-23,2012-12-12
->,Портнов Андрій Володимирович (політик)->Портнов Андрій Володимирович,Q4373277,2007-11-23,2010-04-16
+++,Стельмашенко Василь Петрович,Q56026563,2010-03-30,2012-12-12
+++,Степаненко Анатолій Анатолійович,Q56026780,2011-02-14,2012-12-12
->,Табачник Ян->Табачник Яків Піневич,Q4449226,2007-11-23,2012-12-12
+++,Талишев Євген Іванович,Q56026588,2012-03-06,2012-12-12
->,Таран-Терен Віктор Васильович->Таран Віктор Васильович,Q12159944,2007-11-23,2012-12-12
---,Чорновіл Тарас Вячеславович,Q1968425,2007-11-23,2012-12-12
->,Юлія Володимирівна Тимошенко->Тимошенко Юлія Володимирівна,Q48283,2007-11-23,2007-12-19
->,Юрій Олексійович Литвин->Литвин Юрій Олексійович,Q11729589,2007-11-23,2012-12-12
